iteracion,max_depth,min_child_weight,subsample,colsample_bytree,eta,gamma,lambda,alpha,optntrees,minerror,sensibilidad,kappa
0,2,1,0.7,0.6,0.001,0.001,0.01,0,985,0.6472906091809273,0.42105263157894735,0.47418738049713194
1,2,1,0.7,0.6,0.001,0.001,0.01,0.001,985,0.6472527566552162,0.42105263157894735,0.47418738049713194
2,2,1,0.7,0.6,0.001,0.001,0.01,0.01,985,0.6471432423591614,0.42105263157894735,0.47418738049713194
3,2,1,0.7,0.6,0.001,0.001,0.01,0.1,988,0.647318285703659,0.40789473684210525,0.46069031639501434
4,2,1,0.7,0.6,0.001,0.001,0.01,1,607,0.6553203117847441,0.18421052631578946,0.2187500000000001
5,2,1,0.7,0.6,0.001,0.001,0.01,10,25,0.6727384161949157,0.0,0.0
6,2,1,0.7,0.6,0.001,0.001,0.01,100,1,0.672785379588604,0.0,0.0
7,2,1,0.7,0.6,0.001,0.001,0.1,0,464,0.6568307465314864,0.15789473684210525,0.18864097363083154
8,2,1,0.7,0.6,0.001,0.001,0.1,0.001,553,0.6551366604864597,0.18421052631578946,0.2187500000000001
9,2,1,0.7,0.6,0.001,0.001,0.1,0.01,553,0.6550535655021666,0.18421052631578946,0.2187500000000001
10,2,1,0.7,0.6,0.001,0.001,0.1,0.1,464,0.6569056351482867,0.15789473684210525,0.18864097363083154
11,2,1,0.7,0.6,0.001,0.001,0.1,1,1000,0.6491858507692815,0.35526315789473684,0.40591658583899115
12,2,1,0.7,0.6,0.001,0.001,0.1,10,25,0.6727387854456901,0.0,0.0
13,2,1,0.7,0.6,0.001,0.001,0.1,100,1,0.672785379588604,0.0,0.0
14,2,1,0.7,0.6,0.001,0.001,1,0,703,0.6539618031680583,0.18421052631578946,0.2187500000000001
15,2,1,0.7,0.6,0.001,0.001,1,0.001,703,0.654050671607256,0.18421052631578946,0.2187500000000001
16,2,1,0.7,0.6,0.001,0.001,1,0.01,703,0.6541133715212346,0.18421052631578946,0.2187500000000001
17,2,1,0.7,0.6,0.001,0.001,1,0.1,557,0.6567546582221985,0.15789473684210525,0.18864097363083154
18,2,1,0.7,0.6,0.001,0.001,1,1,555,0.6581813202798366,0.09210526315789473,0.11174047373841411
19,2,1,0.7,0.6,0.001,0.001,1,10,25,0.672747240960598,0.0,0.0
20,2,1,0.7,0.6,0.001,0.001,1,100,1,0.672785379588604,0.0,0.0
21,2,1,0.7,0.6,0.001,0.001,10,0,465,0.6649581681191921,0.0,0.0
22,2,1,0.7,0.6,0.001,0.001,10,0.001,465,0.6649630980193615,0.0,0.0
23,2,1,0.7,0.6,0.001,0.001,10,0.01,465,0.6649706257879734,0.0,0.0
24,2,1,0.7,0.6,0.001,0.001,10,0.1,465,0.6650288344919681,0.0,0.0
25,2,1,0.7,0.6,0.001,0.001,10,1,1000,0.6601526936888694,0.039473684210526314,0.04848800834202294
26,2,1,0.7,0.6,0.001,0.001,10,10,25,0.6727670004963875,0.0,0.0
27,2,1,0.7,0.6,0.001,0.001,10,100,1,0.672785379588604,0.0,0.0
28,2,1,0.7,0.6,0.001,0.001,100,0,350,0.6716462163627148,0.0,0.0
29,2,1,0.7,0.6,0.001,0.001,100,0.001,350,0.671646343767643,0.0,0.0
30,2,1,0.7,0.6,0.001,0.001,100,0.01,350,0.6716474221646787,0.0,0.0
31,2,1,0.7,0.6,0.001,0.001,100,0.1,350,0.6716578330099583,0.0,0.0
32,2,1,0.7,0.6,0.001,0.001,100,1,350,0.671764104962349,0.0,0.0
33,2,1,0.7,0.6,0.001,0.001,100,10,4,0.6727834941446782,0.0,0.0
34,2,1,0.7,0.6,0.001,0.001,100,100,1,0.672785379588604,0.0,0.0
35,2,1,0.7,0.6,0.001,0.01,0.01,0,985,0.6473025815188885,0.42105263157894735,0.47418738049713194
36,2,1,0.7,0.6,0.001,0.01,0.01,0.001,985,0.6472849377989769,0.42105263157894735,0.47418738049713194
37,2,1,0.7,0.6,0.001,0.01,0.01,0.01,985,0.6471425929665566,0.42105263157894735,0.47418738049713194
38,2,1,0.7,0.6,0.001,0.01,0.01,0.1,988,0.6473182862997054,0.40789473684210525,0.46069031639501434
39,2,1,0.7,0.6,0.001,0.01,0.01,1,607,0.6553394567966461,0.18421052631578946,0.2187500000000001
40,2,1,0.7,0.6,0.001,0.01,0.01,10,4,0.6727679885923863,0.0,0.0
41,2,1,0.7,0.6,0.001,0.01,0.01,100,1,0.672785379588604,0.0,0.0
42,2,1,0.7,0.6,0.001,0.01,0.1,0,464,0.6568307465314864,0.15789473684210525,0.18864097363083154
43,2,1,0.7,0.6,0.001,0.01,0.1,0.001,553,0.6551366604864597,0.18421052631578946,0.2187500000000001
44,2,1,0.7,0.6,0.001,0.01,0.1,0.01,553,0.6550535655021666,0.18421052631578946,0.2187500000000001
45,2,1,0.7,0.6,0.001,0.01,0.1,0.1,464,0.6568881930410863,0.15789473684210525,0.18864097363083154
46,2,1,0.7,0.6,0.001,0.01,0.1,1,1000,0.6491920989751815,0.35526315789473684,0.40591658583899115
47,2,1,0.7,0.6,0.001,0.01,0.1,10,4,0.6727680985629558,0.0,0.0
48,2,1,0.7,0.6,0.001,0.01,0.1,100,1,0.672785379588604,0.0,0.0
49,2,1,0.7,0.6,0.001,0.01,1,0,703,0.6539989696443081,0.18421052631578946,0.2187500000000001
50,2,1,0.7,0.6,0.001,0.01,1,0.001,703,0.654052110761404,0.18421052631578946,0.2187500000000001
51,2,1,0.7,0.6,0.001,0.01,1,0.01,703,0.6541266675293446,0.18421052631578946,0.2187500000000001
52,2,1,0.7,0.6,0.001,0.01,1,0.1,557,0.6567500627040863,0.15789473684210525,0.18864097363083154
